State,City,Component,User,Building Type,Size Lower,Size Upper,Coefficient,Constant
Nordrhein-Westfalen,Bonn,PV,None,Wohngebaeude,0,0.6,300,0
Nordrhein-Westfalen,Bonn,PV,None,Wohngebaeude,0.6,83.33,300,0
Nordrhein-Westfalen,Bonn,PV,None,Wohngebaeude,83.33,inf,0,25000
Nordrhein-Westfalen,Bonn,PV,None,Nichtwohngebaeude,0,0.6,300,0
Nordrhein-Westfalen,Bonn,PV,None,Nichtwohngebaeude,0.6,125,200,0
Nordrhein-Westfalen,Bonn,PV,None,Nichtwohngebaeude,125,inf,0,25000
Nordrhein-Westfalen,Bonn,SolarThermalCollector,None,None,0,166.67,150,0
Nordrhein-Westfalen,Bonn,SolarThermalCollector,None,None,166.67,inf,0,25000
Nordrhein-Westfalen,Essen,PV,None,None,0,0.3,0,0
Nordrhein-Westfalen,Essen,PV,None,None,0.3,0.6,0,200
Nordrhein-Westfalen,Essen,PV,None,None,0.6,1,0,0
Nordrhein-Westfalen,Essen,PV,None,None,1,2,0,500
Nordrhein-Westfalen,Essen,PV,None,None,2,5,0,750
Nordrhein-Westfalen,Essen,PV,None,None,5,10,0,1000
Nordrhein-Westfalen,Essen,PV,None,None,10,40,100,0
Nordrhein-Westfalen,Essen,PV,None,None,40,inf,0,4000
Nordrhein-Westfalen,Essen,SolarThermalCollector,None,None,0,inf,0,1000
Nordrhein-Westfalen,Aachen,PV,None,None,0,0.15,0,0
Nordrhein-Westfalen,Aachen,PV,None,None,0.15,0.6,0,200
Nordrhein-Westfalen,Aachen,PV,None,None,0.6,1,0,0
Nordrhein-Westfalen,Aachen,PV,None,None,1,2,0,500
Nordrhein-Westfalen,Aachen,PV,None,None,2,5,0,750
Nordrhein-Westfalen,Aachen,PV,None,None,5,10,0,1000
Nordrhein-Westfalen,Aachen,PV,None,None,10,30,75,1000
Nordrhein-Westfalen,Aachen,PV,None,None,30,inf,0,2500
Nordrhein-Westfalen,Aachen,Battery,None,None,0,1,0,0
Nordrhein-Westfalen,Aachen,Battery,None,None,1,20,100,0
Nordrhein-Westfalen,Aachen,Battery,None,None,20,inf,0,2000
Nordrhein-Westfalen,Aachen,SolarThermalCollector,None,None,0,inf,0,1500
Nordrhein-Westfalen,Aachen,SolarThermalCollector,None,None,0,inf,0,2500
Nordrhein-Westfalen,Muenster,PV,None,None,0,inf,300,0
Nordrhein-Westfalen,Duisburg,PV,None,None,0,1,0,0
Nordrhein-Westfalen,Duisburg,PV,None,None,1,2,0,600
Nordrhein-Westfalen,Duisburg,PV,None,None,2,5,0,800
Nordrhein-Westfalen,Duisburg,PV,None,None,5,10,0,1500
Nordrhein-Westfalen,Duisburg,PV,None,None,10,30,150,0
Nordrhein-Westfalen,Duisburg,PV,None,None,30,inf,0,4500
Nordrhein-Westfalen,Bielefeld,PV,None,None,0,50,100,0
Nordrhein-Westfalen,Bielefeld,PV,None,None,50,inf,0,5000
Nordrhein-Westfalen,Bochum,PV,None,None,0,0.4,0,0
Nordrhein-Westfalen,Bochum,PV,None,None,0.4,0.6,0,400
Nordrhein-Westfalen,Bochum,PV,None,None,0.6,1,0,0
Nordrhein-Westfalen,Bochum,PV,None,None,1,2,0,500
Nordrhein-Westfalen,Bochum,PV,None,None,2,8,250,500
Nordrhein-Westfalen,Bochum,PV,None,None,8,inf,0,2250
Nordrhein-Westfalen,Wuppertal,PV,None,None,0,10,100,0
Nordrhein-Westfalen,Wuppertal,PV,None,None,10,inf,0,1000
Nordrhein-Westfalen,Krefeld,PV,None,None,0,0.6,0,400
Nordrhein-Westfalen,Krefeld,PV,None,None,0.6,10,100,0
Nordrhein-Westfalen,Krefeld,PV,None,None,10,inf,0,1000
Nordrhein-Westfalen,Krefeld,HeatPump,None,None,0,inf,0,2000
Nordrhein-Westfalen,Krefeld,SolarThermalCollector,None,None,0,inf,0,1000
Nordrhein-Westfalen,Krefeld,SolarThermalCollector,None,None,0,inf,0,2000
Nordrhein-Westfalen,Hagen,PV,None,None,0,0.6,0,300
Nordrhein-Westfalen,Hagen,PV,None,None,0.6,inf,0,2000
Nordrhein-Westfalen,Muelheim an der Ruhr,PV,None,None,0,inf,0,1200
Nordrhein-Westfalen,Muelheim an der Ruhr,PV,None,None,0,inf,0,600
Nordrhein-Westfalen,Muelheim an der Ruhr,CHP,None,None,0,inf,0,1500
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,PV,None,None,0,4,0,0
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,PV,None,None,4,inf,0,2000
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,Battery,None,None,0,inf,0,800
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,SolarThermalCollector,None,None,0,3,0,0
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,SolarThermalCollector,None,None,3,inf,0,1000
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,CHP,None,None,0,inf,0,1000
Nordrhein-Westfalen,Oberhausen im Quartier Osterfeld Mitte/Vondern,HeatPump,None,None,0,inf,0,2000
Nordrhein-Westfalen,Solingen,PV,None,None,0,0.6,0,400
Nordrhein-Westfalen,Solingen,PV,None,None,0.6,5,300,0
Nordrhein-Westfalen,Solingen,PV,None,None,5,inf,0,1500
Nordrhein-Westfalen,Solingen,Battery,None,None,0,inf,0,500
Nordrhein-Westfalen,Herne,PV,None,None,0,3,0,0
Nordrhein-Westfalen,Herne,PV,None,None,3,inf,0,500
Rheinland-Pfalz,Mainz,PV,None,None,0,0.8,0,400
Rheinland-Pfalz,Mainz,PV,None,None,0.8,30,200,0
Rheinland-Pfalz,Mainz,PV,None,None,30,inf,0,6000
Rheinland-Pfalz,Koblenz,PV,None,None,0,0.6,0,70
Rheinland-Pfalz,Koblenz,PV,None,None,0.6,10,150,0
Rheinland-Pfalz,Koblenz,PV,None,None,10,inf,0,1500
Rheinland-Pfalz,Koblenz,Battery,None,None,0,10,100,0
Rheinland-Pfalz,Koblenz,Battery,None,None,10,inf,0,1000
Rheinland-Pfalz,Koblenz,SolarThermalCollector,None,None,0,9,100,0
Rheinland-Pfalz,Koblenz,SolarThermalCollector,None,None,9,inf,0,900
Rheinland-Pfalz,Koblenz,SolarThermalCollector,None,None,0,6,150,0
Rheinland-Pfalz,Koblenz,SolarThermalCollector,None,None,6,inf,0,900
Rheinland-Pfalz,Zweibruecken,HeatPump,None,None,0,inf,0,750
Rheinland-Pfalz,Zweibruecken,HeatPump,None,None,0,inf,0,300
Rheinland-Pfalz,Zweibruecken,HeatPump,None,None,0,inf,0,200
Rheinland-Pfalz,Zweibruecken,SolarThermalCollector,None,None,0,4,0,0
Rheinland-Pfalz,Zweibruecken,SolarThermalCollector,None,None,4,8,0,250
Rheinland-Pfalz,Zweibruecken,SolarThermalCollector,None,None,8,inf,0,250
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,0,0.6,0,100
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,0.6,5,0,0
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,5,100,300,0
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,100,inf,0,30000
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,0,0.6,0,100
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,0.6,300,100,0
Schleswig-Holstein,Kiel,PV,None,Wohngebaeude,300,inf,0,30000
Schleswig-Holstein,Kiel,PV,None,Nichtwohngebaeude,0,0.6,0,100
Schleswig-Holstein,Kiel,PV,None,Nichtwohngebaeude,0.6,100,100,0
Schleswig-Holstein,Kiel,PV,None,Nichtwohngebaeude,100,inf,0,10000
Schleswig-Holstein,Luebeck,PV,None,None,0,0.6,0,200
Schleswig-Holstein,Luebeck,PV,None,None,0.6,inf,0,0
Thueringen,Jena,PV,basic,None,0,0.6,0,200
Thueringen,Jena,PV,basic,None,0.6,inf,0,0
Thueringen,Jena,PV,premium,None,0,0.6,0,600
Thueringen,Jena,PV,premium,None,0.6,inf,0,0
