name,year,level,type,apply,user,building,mode,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Stuttgart_Subsidy,2023,city,purchase,HeatPump,basic,all,,,,40,50,0,5000,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPump,basic,all,,,,50,inf,0,6250,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,,,0,30,0,2500,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,,,30,40,0,3750,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,,,40,50,0,5000,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,,,50,inf,0,6250,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,,,0,30,0,2500,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,,,30,40,0,3750,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,,,40,50,0,5000,,,,
Stuttgart_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,,,50,inf,0,6250,,,,
Stuttgart_Subsidy,2023,city,purchase,CHP,basic,all,,,,0,20,0,6000,,,,
Stuttgart_Subsidy,2023,city,purchase,CHP,basic,all,,,,20,inf,0,0,,,,
Mannheim_Subsidy,2023,city,purchase,PV,basic,all,,,,0,10,100,0,,,,
Mannheim_Subsidy,2023,city,purchase,PV,basic,all,,,,10,inf,0,1000,,,,
Mannheim_Subsidy,2023,city,purchase,PV,premium,all,,,,0,15,160,0,,,,
Mannheim_Subsidy,2023,city,purchase,PV,premium,all,,,,15,inf,0,2400,,,,
Freiburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0,1.33,0,0,,,,
Freiburg_Subsidy,2023,city,purchase,PV,basic,all,,,,1.33,10,150,0,,,,
Freiburg_Subsidy,2023,city,purchase,PV,basic,all,,,,10,inf,0,1500,,,,
Freiburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,10,150,0,,,,
Freiburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,10,inf,0,1500,,,,
Ulm_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.6,0,250,,,,
Ulm_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,2,0,0,,,,
Ulm_Subsidy,2023,city,purchase,PV,basic,all,,,,2,100,75,0,,,,
Ulm_Subsidy,2023,city,purchase,PV,basic,all,,,,100,inf,0,7550,,,,
Heidelberg_Subsidy,2023,city,purchase,PV,basic,all,,,,0,100,100,0,,,,
Heidelberg_Subsidy,2023,city,purchase,PV,basic,all,,,,100,inf,0,10000,,,,
Baden-Baden_Subsidy,2023,city,purchase,HeatPump,premium_SWBAD,all,,,,0,30,0,1000,,,,
Baden-Baden_Subsidy,2023,city,purchase,HeatPump,premium_SWBAD,all,,,,30,inf,0,0,,,,
Baden-Baden_Subsidy,2023,city,purchase,HeatPumpAirWater,premium_SWBAD,all,,,,0,30,0,1000,,,,
