State,City,Component,User,Building Type,Size Lower,Size Upper,Size Coefficient,Size Constant,Invest Lower,Invest Upper,Invest Coefficient,Invest Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Bayern,Coburg,PV,None,Allgemein,,,,,44444.44444,inf,0,20000,,,,
Bayern,Coburg,Battery,None,Allgemein,0,5,0,0,,,,,,,,
Bayern,Coburg,Battery,None,Allgemein,5,30,75,500,,,,,,,,
Bayern,Coburg,Battery,None,Allgemein,30,inf,0,2750,,,,,,,,
Bayern,Weiden in der Oberpfalz,PV,None,Allgemein,0,0.6,0,100,,,,,,,,
Bayern,Weiden in der Oberpfalz,PV,None,Allgemein,0.6,inf,0,0,,,,,,,,
Berlin,Berlin,Battery,None,EFH;ZFH;MFH,0,50,300,0,,,,,,,,
Berlin,Berlin,Battery,None,EFH;ZFH;MFH,50,inf,0,15000,,,,,,,,
Berlin,Berlin,Battery,None,NWG,0,50,300,0,,,,,,,,
Berlin,Berlin,Battery,None,NWG,50,inf,0,15000,,,,,,,,
Berlin,Berlin,SolarThermalCollector,None,EFH;ZFH;MFH,,,,,0,75000,0.2,0,,,,
Berlin,Berlin,SolarThermalCollector,None,EFH;ZFH;MFH,,,,,75000,inf,0,15000,,,,
Berlin,Berlin,SolarThermalCollectorFlatPlate,None,EFH;ZFH;MFH,,,,,0,75000,0.2,0,,,,
Berlin,Berlin,SolarThermalCollectorFlatPlate,None,EFH;ZFH;MFH,,,,,75000,inf,0,15000,,,,
Berlin,Berlin,SolarThermalCollectorTube,None,EFH;ZFH;MFH,,,,,0,75000,0.2,0,,,,
Berlin,Berlin,SolarThermalCollectorTube,None,EFH;ZFH;MFH,,,,,75000,inf,0,15000,,,,
Berlin,Berlin,SolarThermalCollector,None,NWG,,,,,0,300000,0.2,0,,,,
Berlin,Berlin,SolarThermalCollector,None,NWG,,,,,300000,inf,0,60000,,,,
Berlin,Berlin,SolarThermalCollectorFlatPlate,None,NWG,,,,,0,300000,0.2,0,,,,
Berlin,Berlin,SolarThermalCollectorFlatPlate,None,NWG,,,,,300000,inf,0,60000,,,,
Berlin,Berlin,SolarThermalCollectorTube,None,NWG,,,,,0,300000,0.2,0,,,,
Berlin,Berlin,SolarThermalCollectorTube,None,NWG,,,,,300000,inf,0,60000,,,,
Berlin,Berlin,HeatPump,None,EFH;ZFH;MFH,,,,,0,60000,0.25,0,,,,
Berlin,Berlin,HeatPump,None,EFH;ZFH;MFH,,,,,60000,inf,0,15000,,,,
Berlin,Berlin,HeatPumpAirWater,None,EFH;ZFH;MFH,,,,,0,60000,0.25,0,,,,
Berlin,Berlin,HeatPumpAirWater,None,EFH;ZFH;MFH,,,,,60000,inf,0,15000,,,,
Berlin,Berlin,HeatPumpBrineWater,None,EFH;ZFH;MFH,,,,,0,60000,0.25,0,,,,
Berlin,Berlin,HeatPumpBrineWater,None,EFH;ZFH;MFH,,,,,60000,inf,0,15000,,,,
Berlin,Berlin,HeatPump,None,NWG,,,,,0,240000,0.25,0,,,,
Berlin,Berlin,HeatPump,None,NWG,,,,,240000,inf,0,60000,,,,
Berlin,Berlin,HeatPumpAirWater,None,NWG,,,,,0,240000,0.25,0,,,,
Berlin,Berlin,HeatPumpAirWater,None,NWG,,,,,240000,inf,0,60000,,,,
Berlin,Berlin,HeatPumpBrineWater,None,NWG,,,,,0,240000,0.25,0,,,,
Berlin,Berlin,HeatPumpBrineWater,None,NWG,,,,,240000,inf,0,60000,,,,
Bremen,Bremen,CHP,None,Allgemein,,,,,0,inf,0.4,0,,,,
Brandenburg,Potsdam,PV,None,EFH;ZFH;MFH,0,0.6,0,250,,,,,,,,
Brandenburg,Potsdam,PV,None,EFH;ZFH;MFH,0.6,6,200,0,,,,,,,,
Brandenburg,Potsdam,PV,None,EFH;ZFH;MFH,6,inf,0,1200,,,,,,,,
Brandenburg,Potsdam,PV,None,NWG,0,0.6,0,250,,,,,,,,
Brandenburg,Potsdam,PV,None,NWG,0.6,6,200,0,,,,,,,,
Brandenburg,Potsdam,PV,None,NWG,6,inf,0,1200,,,,,,,,
Brandenburg,Potsdam,HeatPump,None,EFH;ZFH;MFH,0,inf,0,1000,,,,,,,,
Brandenburg,Potsdam,HeatPumpAirWater,None,EFH;ZFH;MFH,0,inf,0,1000,,,,,,,,
Brandenburg,Potsdam,HeatPumpBrineWater,None,EFH;ZFH;MFH,0,inf,0,1000,,,,,,,,
Brandenburg,Potsdam,Battery,None,EFH;ZFH;MFH,0,2,0,0,,,,,,,,
Brandenburg,Potsdam,Battery,None,EFH;ZFH;MFH,2,inf,0,1000,,,,,,,,
Brandenburg,Potsdam,Battery,None,NWG,0,2,0,0,,,,,,,,
Brandenburg,Potsdam,Battery,None,NWG,2,inf,0,1000,,,,,,,,
Hamburg,Hamburg,SolarThermalCollector,None,Neubau,,,,,,,,,0,20,0,0
Hamburg,Hamburg,SolarThermalCollector,None,Neubau,,,,,,,,,20,200,150,0
Hamburg,Hamburg,SolarThermalCollector,None,Neubau,,,,,,,,,200,inf,0,30000
Hamburg,Hamburg,SolarThermalCollector,None,Bestandbau,,,,,,,,,0,20,0,0
Hamburg,Hamburg,SolarThermalCollector,None,Bestandbau,,,,,,,,,20,200,200,0
Hamburg,Hamburg,SolarThermalCollector,None,Bestandbau,,,,,,,,,200,inf,0,40000
Hamburg,Hamburg,SolarThermalCollectorFlatPlate,None,Neubau,,,,,,,,,0,20,0,0
Hamburg,Hamburg,SolarThermalCollectorFlatPlate,None,Neubau,,,,,,,,,20,200,150,0
Hamburg,Hamburg,SolarThermalCollectorFlatPlate,None,Neubau,,,,,,,,,200,inf,0,30000
Hamburg,Hamburg,SolarThermalCollectorFlatePlate,None,Bestandbau,,,,,,,,,0,20,0,0
Hamburg,Hamburg,SolarThermalCollectorFlatePlate,None,Bestandbau,,,,,,,,,20,200,200,0
Hamburg,Hamburg,SolarThermalCollectorFlatePlate,None,Bestandbau,,,,,,,,,200,inf,0,40000
Hamburg,Hamburg,SolarThermalCollectorTube,None,Neubau,,,,,,,,,0,20,0,0
Hamburg,Hamburg,SolarThermalCollectorTube,None,Neubau,,,,,,,,,20,200,150,0
Hamburg,Hamburg,SolarThermalCollectorTube,None,Neubau,,,,,,,,,200,inf,0,30000
Hamburg,Hamburg,SolarThermalCollectorTube,None,Bestandbau,,,,,,,,,0,20,0,0
Hamburg,Hamburg,SolarThermalCollectorTube,None,Bestandbau,,,,,,,,,20,200,200,0
Hamburg,Hamburg,SolarThermalCollectorTube,None,Bestandbau,,,,,,,,,200,inf,0,40000
Hamburg,Hamburg,HeatPumpBrineWater,None,Neubau,0,42,100,0,,,,,,,,
Hamburg,Hamburg,HeatPumpBrineWater,None,Neubau,42,inf,0,4200,,,,,,,,
Hamburg,Hamburg,HeatPumpAirWater,None,Neubau,0,40,75,0,,,,,,,,
Hamburg,Hamburg,HeatPumpAirWater,None,Neubau,40,inf,0,3000,,,,,,,,
Hamburg,Hamburg,HeatPumpBrineWater,None,Bestandbau,0,42,100,0,,,,,,,,
Hamburg,Hamburg,HeatPumpBrineWater,None,Bestandbau,42,inf,0,4200,,,,,,,,
Hamburg,Hamburg,HeatPumpAirWater,None,Bestandbau,0,40,75,0,,,,,,,,
Hamburg,Hamburg,HeatPumpAirWater,None,Bestandbau,40,inf,0,3000,,,,,,,,
Hessen,Wiesbaden,PV,None,Allgemein,0,3,0,300,,,,,,,,
Hessen,Wiesbaden,PV,None,Allgemein,3,6,0,400,,,,,,,,
Hessen,Wiesbaden,PV,None,Allgemein,6,inf,0,500,,,,,,,,
Hessen,Wiesbaden,Battery,None,Allgemein,0,3,0,500,,,,,,,,
Hessen,Wiesbaden,Battery,None,Allgemein,3,6,0,750,,,,,,,,
Hessen,Wiesbaden,Battery,None,Allgemein,6,inf,0,1000,,,,,,,,
Hessen,Darmstadt,PV,None,Allgemein,0,0.2,0,0,,,,,,,,
Hessen,Darmstadt,PV,None,Allgemein,0.2,0.45,0,200,,,,,,,,
